fid;nama tempat;url tempat;alamat;nomor telepon;latitude;longitude;latilong;kategori gmaps;website;rating;review terbaru;status review;input direktori;modifikasi;kk;gid;bstt;luas;bsbtt;idsls;kdkab;kdkec;kdsls;nmkab;nmkec;nmsls;bstt_k;kddesa;kdprov;khusus;muatan;nmdesa;nmprov;posisi;segmen;subsls;sumber;dom_sls;periode;tingkat;idsubsls;nm_gedung;wil_campur
7818;Petani Selada;https://www.google.com/maps/place/Petani+Selada/@-1.1938855,116.886614,17z/data=!3m1!4b1!4m6!3m5!1s0x2df149002227e9b3:0xfcac6aee0d13a2f9!8m2!3d-1.1938855!4d116.886614!16s%2Fg%2F11wwrzthkb?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYwOS4wIKXMDSoASAFQAw%3D%3D;RV4P+CJX, Batu Ampar, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76127;Nomor telepon tidak ditemukan;-1,1938855;116,886614;-1.1938855,116.886614;Pertanian;Website tidak ditemukan;5,0;6 bulan lalu;Ulasan terbaru tanpa label 'NEW';pertaniandi balikpapan utara;10/07/2025;;212452;;0,126466382;;6,47103E+13;71;030;0040;BALIKPAPAN;BALIKPAPAN UTARA;RT 40;;006;64;;;GRAHA INDAH;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7819;Parfum laundry kenz pelangi Balikpapan;https://www.google.com/maps/place/Parfum+laundry+kenz+pelangi+Balikpapan/@-1.1979036,116.886396,17z/data=!4m6!3m5!1s0x2df149a70b718fff:0x6fcdce6c7faa7705!8m2!3d-1.1979036!4d116.886396!16s%2Fg%2F11v9_yk91m?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxMS4wIKXMDSoASAFQAw%3D%3D;Jl.kesatrian No.km 8, Batu Ampar, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76129;0856-5110-0332;-1,1979036;116,886396;-1.1979036,116.886396;Toko Parfum;parfumlaundry.com;5,0;sebulan lalu;Ulasan terbaru tanpa label 'NEW';toko parfum di balikpapan utara;17/06/2025;;212452;;0,126466382;;6,47103E+13;71;030;0040;BALIKPAPAN;BALIKPAPAN UTARA;RT 40;;006;64;;;GRAHA INDAH;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7820;Yonif 600/Raider Kompi Senapan A;https://www.google.com/maps/place/Yonif+600%2FRaider+Kompi+Senapan+A/@-1.1980957,116.886601,17z/data=!3m1!4b1!4m6!3m5!1s0x2df148cbeb9ff091:0xca3d0848969196d6!8m2!3d-1.1980957!4d116.886601!16s%2Fg%2F1hm3zhvf9?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxMS4wIKXMDSoASAFQAw%3D%3D;RV2P+QJ9, Jl. Soekarno Hatta, Batu Ampar, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76127;Nomor telepon tidak ditemukan;-1,1980957;116,886601;-1.1980957,116.886601;Fasilitas Tentara;Website tidak ditemukan;4,6;2 bulan lalu;Ulasan terbaru tanpa label 'NEW';kantor perekrutan militer di balikpapan utara;19/06/2025;;212452;;0,126466382;;6,47103E+13;71;030;0040;BALIKPAPAN;BALIKPAPAN UTARA;RT 40;;006;64;;;GRAHA INDAH;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7821;Petani selada balikpapan;https://www.google.com/maps/place/Petani+selada+balikpapan/@-1.1938003,116.8868057,17z/data=!3m1!4b1!4m6!3m5!1s0x2df1479366552a21:0xcc271c3b3e6a8509!8m2!3d-1.1938003!4d116.8868057!16s%2Fg%2F11lv42_zt2?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D;asmil kipan A, Jln ksatrian No.km 8, Batu Ampar, Kec. Balikpapan Utara, Kota Balikpapan, Kalimantan Timur 76118;0853-5081-4826;-1,1938003;116,8868057;-1.1938003,116.8868057;Pertanian;Website tidak ditemukan;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;asosiasi pertanian di balikpapan utara;09/07/2025;;212452;;0,126466382;;6,47103E+13;71;030;0040;BALIKPAPAN;BALIKPAPAN UTARA;RT 40;;006;64;;;GRAHA INDAH;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7822;Aldamidi MT. Haryono Balikpapan;https://www.google.com/maps/place/Aldamidi+MT.+Haryono+Balikpapan/@-1.2650737,116.8590963,17z/data=!3m1!4b1!4m6!3m5!1s0x2df146eee7709a0b:0x260cecfaff76464a!8m2!3d-1.2650737!4d116.8590963!16s%2Fg%2F11cn9fy90r?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D;PVM5+XJ4, Jl. MT Haryono, Damai, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76114;0813-8077-3449;-1,2650737;116,8590963;-1.2650737,116.8590963;Toko Swalayan;alfamidiku.com;3,5;4 bulan lalu;Ulasan terbaru tanpa label 'NEW';balikpapan;28/05/2023;;212460;;0,035622472;;6,47101E+13;71;010;0005;BALIKPAPAN;BALIKPAPAN SELATAN;RT 5;;009;64;;;DAMAI BAHAGIA;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7823;Bright SPBU-Balikpapan Mt Haryono;https://www.google.com/maps/place/Bright+SPBU-Balikpapan+Mt+Haryono/@-1.2649861,116.8594593,17z/data=!3m1!4b1!4m6!3m5!1s0x2df146eee89370e9:0x7dfe19bbdfd1e42e!8m2!3d-1.2649861!4d116.8594593!16s%2Fg%2F11rycpclck?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;PVP5+2Q4, Damai, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76114;Nomor telepon tidak ditemukan;-1,2649861;116,8594593;-1.2649861,116.8594593;Minimarket;Website tidak ditemukan;5,0;4 bulan lalu;Ulasan terbaru tanpa label 'NEW';balikpapan;28/05/2023;;212460;;0,035622472;;6,47101E+13;71;010;0005;BALIKPAPAN;BALIKPAPAN SELATAN;RT 5;;009;64;;;DAMAI BAHAGIA;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7824;Dipo Kereta Api Balikpapan;https://www.google.com/maps/place/Dipo+Kereta+Api+Balikpapan/@-1.2654954,116.8594141,17z/data=!3m1!4b1!4m6!3m5!1s0x2df1470bcbca87b5:0x8790d2179605535c!8m2!3d-1.2654954!4d116.8594141!16s%2Fg%2F11s69_syzk?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;PVM5+RQ3, Gg. Mufakat I, Damai, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76114;Nomor telepon tidak ditemukan;-1,2654954;116,8594141;-1.2654954,116.8594141;Depot kereta api;Website tidak ditemukan;4,0;2 tahun lalu;Ulasan terbaru tanpa label 'NEW';balikpapan;28/05/2023;;212460;;0,035622472;;6,47101E+13;71;010;0005;BALIKPAPAN;BALIKPAPAN SELATAN;RT 5;;009;64;;;DAMAI BAHAGIA;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7825;Rumah Kos Fatimah;https://www.google.com/maps/place/Rumah+Kos+Fatimah/@-1.2656605,116.8612669,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147a96dcd140d:0x298a22380d3ab4c3!8m2!3d-1.2656605!4d116.8612669!16s%2Fg%2F11s8yqlcxn?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;Jl. MT Haryono Gg.Mufakat II No.99, RW.Rt.05, Damai, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76114;0821-5568-5324;-1,2656605;116,8612669;-1.2656605,116.8612669;Guest house;Website tidak ditemukan;4,8;2 tahun lalu;Ulasan terbaru tanpa label 'NEW';balikpapan;28/05/2023;;212460;;0,035622472;;6,47101E+13;71;010;0005;BALIKPAPAN;BALIKPAPAN SELATAN;RT 5;;009;64;;;DAMAI BAHAGIA;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7826;Puskesmas ( Layanan ABK );https://www.google.com/maps/place/Puskesmas+(+Layanan+ABK+)/@-1.265838,116.860037,17z/data=!4m6!3m5!1s0x2df1474f52769279:0x81bc0c9e4a56b613!8m2!3d-1.265838!4d116.860037!16s%2Fg%2F11kmzh608z?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;PVM6+M27, Damai, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76114;(0542) 8214528;-1,265838;116,860037;-1.265838,116.860037;Pusat Kesehatan Masyarakat;Website tidak ditemukan;5,0;2 tahun lalu;Ulasan terbaru tanpa label 'NEW';balikpapan;28/05/2023;;212460;;0,035622472;;6,47101E+13;71;010;0005;BALIKPAPAN;BALIKPAPAN SELATAN;RT 5;;009;64;;;DAMAI BAHAGIA;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7827;Scuto Balikpapan;https://www.google.com/maps/place/Scuto+Balikpapan/@-1.2648976,116.8592005,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147ce21a406b3:0xa8a9065ab0ffb233!8m2!3d-1.2648976!4d116.8592005!16s%2Fg%2F11fjxwvf8w?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;Jl. M.T Haryono No. 104 Rt. 05 Kelurahan, Damai, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76114;0822-7669-6988;-1,2648976;116,8592005;-1.2648976,116.8592005;Bengkel Perawatan Bodi Mobil;scuto.co.id;4,4;7 bulan lalu;Ulasan terbaru tanpa label 'NEW';layanan detailing mobildi kota balikpapan;28/05/2023;;212460;;0,035622472;;6,47101E+13;71;010;0005;BALIKPAPAN;BALIKPAPAN SELATAN;RT 5;;009;64;;;DAMAI BAHAGIA;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7828;balikpapan;https://www.google.com/maps/place/balikpapan/@-1.2664103,116.8604938,17z/data=!4m6!3m5!1s0x2df147007fc60633:0x4eb6d23fae7bc462!8m2!3d-1.2664103!4d116.8604938!16s%2Fg%2F11wq_lmn7m?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;Gg.Mufakat II No.54, Damai, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76114;Nomor telepon tidak ditemukan;-1,2664103;116,8604938;-1.2664103,116.8604938;Perhimpunan Pengembang Perumahan;Website tidak ditemukan;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;pengembang real estatdi kota balikpapan;28/05/2023;;212460;;0,035622472;;6,47101E+13;71;010;0005;BALIKPAPAN;BALIKPAPAN SELATAN;RT 5;;009;64;;;DAMAI BAHAGIA;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7829;Keyla.R Shoes Sport;https://www.google.com/maps/place/Keyla.R+Shoes+Sport/@-1.2653216,116.858925,17z/data=!3m1!4b1!4m6!3m5!1s0x2df146eede8b12f3:0x4554a317abdd86b2!8m2!3d-1.2653216!4d116.858925!16s%2Fg%2F11h4n10j13?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D;Jl. MT Haryono No.85, Damai, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76114;Nomor telepon tidak ditemukan;-1,2653216;116,858925;-1.2653216,116.858925;Toko Sepatu;Website tidak ditemukan;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;iLoveMerge1Juni2026;28/05/2023;;212460;;0,035622472;;6,47101E+13;71;010;0005;BALIKPAPAN;BALIKPAPAN SELATAN;RT 5;;009;64;;;DAMAI BAHAGIA;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7830;PENGOBATAN ALAT VITAL BALIKPAPAN;https://www.google.com/maps/place/PENGOBATAN+ALAT+VITAL+BALIKPAPAN/@-1.2651282,116.8590437,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147c2d75a61a1:0x6f29027358ce51be!8m2!3d-1.2651282!4d116.8590437!16s%2Fg%2F11vlby1sh4?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D;Jl. MT Haryono Jl. Pramuka No.11A, Damai, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76114;0812-8319-9596;-1,2651282;116,8590437;-1.2651282,116.8590437;Praktisi Pengobatan Alternatif;sindikatpost.com;4,8;4 hari lalu;Ulasan terbaru berlabel 'NEW';iLoveMerge;28/05/2023;;212460;;0,035622472;;6,47101E+13;71;010;0005;BALIKPAPAN;BALIKPAPAN SELATAN;RT 5;;009;64;;;DAMAI BAHAGIA;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7831;AB Frozen Store;https://www.google.com/maps/place/AB+Frozen+Store/@-1.265503,116.8589136,17z/data=!3m1!4b1!4m6!3m5!1s0x2df14721829ee1ab:0x5b9d08ed13865d00!8m2!3d-1.265503!4d116.8589136!16s%2Fg%2F11twd58h09?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D;Jl. MT Haryono No.01 RT 005, Damai, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76114;0813-4578-0155;-1,265503;116,8589136;-1.265503,116.8589136;Toko makanan grosir;Website tidak ditemukan;5,0;setahun lalu;Ulasan terbaru tanpa label 'NEW';iLoveMerge;28/05/2023;;212460;;0,035622472;;6,47101E+13;71;010;0005;BALIKPAPAN;BALIKPAPAN SELATAN;RT 5;;009;64;;;DAMAI BAHAGIA;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7832;DMS BIKERS SHOP;https://www.google.com/maps/place/DMS+BIKERS+SHOP/@-1.2654959,116.8588816,17z/data=!3m1!4b1!4m6!3m5!1s0x2df146eedf22a997:0xee2f4f4f582591e3!8m2!3d-1.2654959!4d116.8588816!16s%2Fg%2F11clyt1s4z?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D;PVM5+RH2, Jl. MT Haryono, Damai, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76114;0819-0473-7498;-1,2654959;116,8588816;-1.2654959,116.8588816;Toko;Website tidak ditemukan;4,4;9 bulan lalu;Ulasan terbaru tanpa label 'NEW';iLoveMerge;17/06/2025;;212460;;0,035622472;;6,47101E+13;71;010;0005;BALIKPAPAN;BALIKPAPAN SELATAN;RT 5;;009;64;;;DAMAI BAHAGIA;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7833;Yoshinoya MT Haryono Balikpapan;https://www.google.com/maps/place/Yoshinoya+MT+Haryono+Balikpapan/@-1.2655317,116.8588449,17z/data=!3m1!4b1!4m6!3m5!1s0x2df1470063712ded:0x7e22584eb1047c48!8m2!3d-1.2655317!4d116.8588449!16s%2Fg%2F11yc52m3nl?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D;PVM5+QGQ, Damai, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76114;0857-1830-5761;-1,2655317;116,8588449;-1.2655317,116.8588449;Restoran Jepang;Website tidak ditemukan;3,9;3 minggu lalu;Ulasan terbaru berlabel 'NEW';iLoveMerge;10/07/2025;;212460;;0,035622472;;6,47101E+13;71;010;0005;BALIKPAPAN;BALIKPAPAN SELATAN;RT 5;;009;64;;;DAMAI BAHAGIA;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7834;ATM Bank Mandiri;https://www.google.com/maps/place/ATM+Bank+Mandiri/@-1.2649957,116.8594282,17z/data=!3m1!4b1!4m6!3m5!1s0x2df146eef184efc9:0x506703a09f728980!8m2!3d-1.2649957!4d116.8594282!16s%2Fg%2F11cjj7g127?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYwOC4wIKXMDSoASAFQAw%3D%3D;PVP5+2Q3, Damai, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76114;Nomor telepon tidak ditemukan;-1,2649957;116,8594282;-1.2649957,116.8594282;ATM;bankmandiri.co.id;4,7;5 tahun lalu;Ulasan terbaru tanpa label 'NEW';atmdi balikpapan utara;23/06/2025;;212460;;0,035622472;;6,47101E+13;71;010;0005;BALIKPAPAN;BALIKPAPAN SELATAN;RT 5;;009;64;;;DAMAI BAHAGIA;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7835;Agen Telur Balikpapan;https://www.google.com/maps/place/Agen+Telur+Balikpapan/@-1.266594,116.8607848,17z/data=!3m1!4b1!4m6!3m5!1s0x2df14743be1d99a7:0x5a0323dd1a591ea4!8m2!3d-1.266594!4d116.8607848!16s%2Fg%2F11qgdj48p0?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxMS4wIKXMDSoASAFQAw%3D%3D;bahagia, Jl. MT Haryono Gg.Mufakat II, Damai, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76114;0813-4636-4340;-1,266594;116,8607848;-1.266594,116.8607848;Toko Makanan;Website tidak ditemukan;5,0;2 tahun lalu;Ulasan terbaru tanpa label 'NEW';distributor minuman di balikpapan utara;17/06/2025;;212460;;0,035622472;;6,47101E+13;71;010;0005;BALIKPAPAN;BALIKPAPAN SELATAN;RT 5;;009;64;;;DAMAI BAHAGIA;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7836;Gazebo 007;https://www.google.com/maps/place/Gazebo+007/@-1.2658002,116.861151,17z/data=!3m1!4b1!4m6!3m5!1s0x2df146eeaf13e6e3:0xda472ee5ded88663!8m2!3d-1.2658002!4d116.861151!16s%2Fg%2F11cmy9fx3z?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxMS4wIKXMDSoASAFQAw%3D%3D;PVM6+MFC, Damai, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76114;0821-3699-0967;-1,2658002;116,861151;-1.2658002,116.861151;Bar;Website tidak ditemukan;4,7;2 tahun lalu;Ulasan terbaru tanpa label 'NEW';pub di balikpapan utara;17/06/2025;;212460;;0,035622472;;6,47101E+13;71;010;0005;BALIKPAPAN;BALIKPAPAN SELATAN;RT 5;;009;64;;;DAMAI BAHAGIA;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7837;AFNAN Babyshop;https://www.google.com/maps/place/AFNAN+Babyshop/@-1.2654163,116.8596385,17z/data=!3m1!4b1!4m6!3m5!1s0x2df14738353955d7:0xc18ce33416903f54!8m2!3d-1.2654163!4d116.8596385!16s%2Fg%2F11lkdzd72d?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxMS4wIKXMDSoASAFQAw%3D%3D;Gg.Mufakat II No.18, Damai, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76114;0857-1272-4384;-1,2654163;116,8596385;-1.2654163,116.8596385;Toko Pakaian;Website tidak ditemukan;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;toko bayi di balikpapan utara;17/06/2025;;212460;;0,035622472;;6,47101E+13;71;010;0005;BALIKPAPAN;BALIKPAPAN SELATAN;RT 5;;009;64;;;DAMAI BAHAGIA;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7838;Kopi Ruang Hati - Damai;https://www.google.com/maps/place/Kopi+Ruang+Hati+-+Damai/@-1.264993,116.8592428,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147f74a5dae4d:0x2c8598031f5970c7!8m2!3d-1.264993!4d116.8592428!16s%2Fg%2F11jhsy0mpr?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxMS4wIKXMDSoASAFQAw%3D%3D;Jl. MT Haryono No.103 RT.05, Damai, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76114;0819-5514-148;-1,264993;116,8592428;-1.264993,116.8592428;Kafe;Website tidak ditemukan;4,6;4 tahun lalu;Ulasan terbaru tanpa label 'NEW';restoran pengiriman di balikpapan utara;17/06/2025;;212460;;0,035622472;;6,47101E+13;71;010;0005;BALIKPAPAN;BALIKPAPAN SELATAN;RT 5;;009;64;;;DAMAI BAHAGIA;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7839;Public Toilet;https://www.google.com/maps/place/Public+Toilet/@-1.2650979,116.8595797,17z/data=!3m1!4b1!4m6!3m5!1s0x2df146eeef1ac7a7:0x163fe72eac1d1113!8m2!3d-1.2650979!4d116.8595797!16s%2Fg%2F11sx_yyp3_?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxMS4wIKXMDSoASAFQAw%3D%3D;PVM5+XR8, Damai, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76114;Nomor telepon tidak ditemukan;-1,2650979;116,8595797;-1.2650979,116.8595797;Kamar Mandi Umum;Website tidak ditemukan;5,0;sebulan lalu;Ulasan terbaru tanpa label 'NEW';kamar mandi umum di balikpapan utara;19/06/2025;;212460;;0,035622472;;6,47101E+13;71;010;0005;BALIKPAPAN;BALIKPAPAN SELATAN;RT 5;;009;64;;;DAMAI BAHAGIA;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7840;Karya Bersama;https://www.google.com/maps/place/Karya+Bersama/@-1.265597,116.859798,17z/data=!4m6!3m5!1s0x2df14788418b7bcd:0x69c1edcdcff0ef2!8m2!3d-1.265597!4d116.859798!16s%2Fg%2F11jk0_nb24?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxNS4wIKXMDSoASAFQAw%3D%3D;Bahagia, Jl. MT Haryono Gg.Mufakat II No.86 Rt 05, Damai, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76114;0853-4697-9309;-1,265597;116,859798;-1.265597,116.859798;Layanan Pengelolaan Limbah;Website tidak ditemukan;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;layanan pengelolaan limbah di balikpapan utara;19/06/2025;;212460;;0,035622472;;6,47101E+13;71;010;0005;BALIKPAPAN;BALIKPAPAN SELATAN;RT 5;;009;64;;;DAMAI BAHAGIA;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7841;HIJRAH TANI;https://www.google.com/maps/place/HIJRAH+TANI/@-1.2656607,116.8600324,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147797a9a5705:0xf8eb0e1557978941!8m2!3d-1.2656607!4d116.8600324!16s%2Fg%2F11k46gp6mk?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYxNi4wIKXMDSoASAFQAw%3D%3D;jalan mulawarman Gg.Mufakat II No.39, RT.09, Teritip, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76116;0812-5670-7364;-1,2656607;116,8600324;-1.2656607,116.8600324;Toko Pertanian;Website tidak ditemukan;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;pertanian di balikpapan barat;23/06/2025;;212460;;0,035622472;;6,47101E+13;71;010;0005;BALIKPAPAN;BALIKPAPAN SELATAN;RT 5;;009;64;;;DAMAI BAHAGIA;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7842;ATM Bank BCA;https://www.google.com/maps/place/ATM+Bank+BCA/@-1.2649935,116.8594247,17z/data=!3m1!4b1!4m6!3m5!1s0x2df146eeef03fb9b:0x4765dfb89847cc75!8m2!3d-1.2649935!4d116.8594247!16s%2Fg%2F1ptw68ys9?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D;PVP5+2Q3, Jl. Jend Jl. MT Haryono, Damai, Balikpapan Kota, Balikpapan City, East Kalimantan 76124;(021) 0500888;-1,2649935;116,8594247;-1.2649935,116.8594247;ATM;klikbca.com;5,0;5 tahun lalu;Ulasan terbaru tanpa label 'NEW';bank sektor swasta di balikpapan utara;09/07/2025;;212460;;0,035622472;;6,47101E+13;71;010;0005;BALIKPAPAN;BALIKPAPAN SELATAN;RT 5;;009;64;;;DAMAI BAHAGIA;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7843;Rental Mobil Balikpapan (Lipan Transport) by Azka Rent;https://www.google.com/maps/place/Rental+Mobil+Balikpapan+(Lipan+Transport)+by+Azka+Rent/@-1.2743274,116.8266384,17z/data=!3m1!4b1!4m6!3m5!1s0x2df14751709d0f2d:0x6116f5996474b750!8m2!3d-1.2743274!4d116.8266384!16s%2Fg%2F11stphfkkf?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;Jl. Wiluyo Puspoyudo No.55, RT.13, Klandasan Ulu, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76112;0823-9518-6438;-1,2743274;116,8266384;-1.2743274,116.8266384;Agen Sewa Mobil;Website tidak ditemukan;5,0;setahun lalu;Ulasan terbaru tanpa label 'NEW';balikpapan;28/05/2023;;212510;;0,018788332;;6,47101E+13;71;011;0012;BALIKPAPAN;BALIKPAPAN KOTA;RT 13;;003;64;;;KLANDASAN ULU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7844;Asrama Sentosa Dekat Poskamling RT.13;https://www.google.com/maps/place/Asrama+Sentosa+Dekat+Poskamling+RT.13/@-1.2743807,116.8273544,17z/data=!3m1!4b1!4m6!3m5!1s0x2df147e48d74f8bf:0x8d0b68f10785b683!8m2!3d-1.2743807!4d116.8273544!16s%2Fg%2F11hf2h4f38?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;Klandasan Ulu, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76112;Nomor telepon tidak ditemukan;-1,2743807;116,8273544;-1.2743807,116.8273544;Kantor Perusahaan;Website tidak ditemukan;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;balikpapan;28/05/2023;;212510;;0,018788332;;6,47101E+13;71;011;0012;BALIKPAPAN;BALIKPAPAN KOTA;RT 13;;003;64;;;KLANDASAN ULU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
7845;Posyandu RT 13 Klandasan Ulu;https://www.google.com/maps/place/Posyandu+RT+13+Klandasan+Ulu/@-1.2745195,116.8275759,17z/data=!4m6!3m5!1s0x2df14763c61ee483:0x351eba129684d5c0!8m2!3d-1.2745195!4d116.8275759!16s%2Fg%2F11kqrxkf0m?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D;PRGH+52W, Klandasan Ulu, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur;Nomor telepon tidak ditemukan;-1,2745195;116,8275759;-1.2745195,116.8275759;Pusat Kegiatan Warga;Website tidak ditemukan;Rating tidak ditemukan;Tanggal ulasan tidak ditemukan;Tidak ada ulasan ditemukan;balikpapan;28/05/2023;;212510;;0,018788332;;6,47101E+13;71;011;0012;BALIKPAPAN;BALIKPAPAN KOTA;RT 13;;003;64;;;KLANDASAN ULU;KALIMANTAN TIMUR;;;;;;2023_1;;;;
